iter	Logloss
0	0.6732530456
1	0.6538271309
2	0.635168762
3	0.6170907408
4	0.5996027781
5	0.5826770339
6	0.5662962223
7	0.5504510887
8	0.535113654
9	0.5202884152
10	0.505951781
11	0.4920895366
12	0.478688663
13	0.4657333739
14	0.4531960908
15	0.4410948856
16	0.4293995598
17	0.4180981704
18	0.4071787489
19	0.3966279961
20	0.3864345247
21	0.3765866861
22	0.3670682863
23	0.3578786827
24	0.3490012102
25	0.3401802786
26	0.3319037263
27	0.323899195
28	0.3161761215
29	0.3087160959
30	0.3015035337
31	0.2945344553
32	0.2878101731
33	0.2809249893
34	0.2746600222
35	0.2686092318
36	0.2627608177
37	0.2571090505
38	0.2516485084
39	0.2463716974
40	0.2412721278
41	0.2363428748
42	0.2315792375
43	0.2269748706
44	0.2225237359
45	0.2182198858
46	0.2140595407
47	0.209934859
48	0.2060477842
49	0.2022856949
50	0.1986502241
51	0.195032443
52	0.1916337305
53	0.1883460712
54	0.1851587782
55	0.1820809422
56	0.1790957462
57	0.1762135486
58	0.1734242973
59	0.170724187
60	0.1680263095
61	0.165494749
62	0.1629669961
63	0.1605938704
64	0.1582998983
65	0.1558957306
66	0.1537480743
67	0.1516636001
68	0.1496454064
69	0.1476890349
70	0.1457964961
71	0.1439578262
72	0.1421801915
73	0.14045705
74	0.1387210282
75	0.1369570182
76	0.1353913239
77	0.1337402446
78	0.1322706317
79	0.1308452043
80	0.1294624616
81	0.1281211135
82	0.1266010999
83	0.1253426616
84	0.1240004326
85	0.1227215075
86	0.1215736224
87	0.1204610712
88	0.119322057
89	0.1182744863
90	0.1172572846
91	0.1162694574
92	0.1153101056
93	0.1143784115
94	0.1132601816
95	0.1123847519
96	0.111534218
97	0.1107078395
98	0.1098615803
99	0.1090802749
100	0.1082780721
101	0.1074796914
102	0.1066898823
103	0.1059542264
104	0.1052796925
105	0.1046252378
106	0.1039878843
107	0.1032837986
108	0.1026798651
109	0.1020957672
110	0.1015275892
111	0.1009748535
112	0.1003665892
113	0.0998444934
114	0.09921003456
115	0.09871745894
116	0.09817348572
117	0.09754731927
118	0.09705760614
119	0.09652710361
120	0.09610031821
121	0.09568291758
122	0.09521310024
123	0.09471487656
124	0.09423525495
125	0.0938661208
126	0.09350665948
127	0.09312520417
128	0.09265969933
129	0.09226356519
130	0.09194268695
131	0.09151850797
132	0.09117388415
133	0.09075834185
134	0.09037568587
135	0.09009798858
136	0.08982733299
137	0.08956352474
138	0.08930637536
139	0.08905570208
140	0.08881132762
141	0.08857147373
142	0.08826741475
143	0.08801661366
144	0.08778695737
145	0.0875726976
146	0.08736374928
147	0.08704485399
148	0.0868069375
149	0.08661457812
150	0.08632870881
151	0.08609826608
152	0.0858079892
153	0.08563622646
154	0.08546866845
155	0.08526826322
156	0.08502426509
157	0.08486751089
158	0.08461977759
159	0.0844543588
160	0.08422039807
161	0.08404519151
162	0.08387250017
163	0.08365906001
164	0.08353157094
165	0.08340711555
166	0.08320627226
167	0.08301683475
168	0.08290219239
169	0.08271368256
170	0.08251618003
171	0.08238607933
172	0.08225933097
173	0.08210360439
174	0.08200610171
